Player,Salary,Age,FG,RB,AST,STL,BLK,PTS
Darrell Arthur,3006.217,24,2.7457627118644066,2.864406779661017,0.559322033898305,0.4067796610169492,0.559322033898305,6.135593220338983
Darren Collison,2319.344,25,4.209876543209877,2.7037037037037037,5.1234567901234565,1.2345679012345678,0.09876543209876543,12.0
David Lee,12744.0,29,7.620253164556962,11.215189873417721,3.5316455696202533,0.8481012658227848,0.27848101265822783,18.468354430379748
David West,10000.0,32,6.876712328767123,7.712328767123288,2.9178082191780823,1.0136986301369864,0.9452054794520548,17.123287671232877
DeAndre Liggins,762.195,24,0.5384615384615384,1.358974358974359,0.38461538461538464,0.46153846153846156,0.07692307692307693,1.4871794871794872
DeJuan Blair,1054.0,23,2.3278688524590163,3.7704918032786887,0.7377049180327869,0.6065573770491803,0.16393442622950818,5.377049180327869
DeMar DeRozan,3344.25,23,6.682926829268292,3.902439024390244,2.4878048780487805,0.926829268292683,0.2926829268292683,18.109756097560975
DeMarcus Cousins,3880.8,22,6.426666666666667,9.946666666666667,2.6533333333333333,1.44,0.7333333333333333,17.066666666666666
DeMarre Carroll,885.12,26,2.257575757575758,2.8484848484848486,0.9242424242424242,0.8787878787878788,0.36363636363636365,5.954545454545454
DeQuan Jones,473.604,22,1.507936507936508,1.6666666666666667,0.25396825396825395,0.30158730158730157,0.3492063492063492,3.6984126984126986
Derek Fisher,644.005,38,1.6666666666666667,1.121212121212121,1.4242424242424243,0.5757575757575758,0.09090909090909091,5.303030303030303
Deron Williams,17177.795,28,6.346153846153846,2.9743589743589745,7.743589743589744,0.9615384615384616,0.38461538461538464,18.923076923076923
Derrick Favors,4753.32,21,3.5584415584415585,7.090909090909091,0.974025974025974,0.8701298701298701,1.6883116883116882,9.441558441558442
Derrick Williams,4809.84,21,4.333333333333333,5.512820512820513,0.5897435897435898,0.5641025641025641,0.47435897435897434,11.961538461538462
DeSagana Diop,7372.2,31,0.36363636363636365,2.3181818181818183,0.5909090909090909,0.22727272727272727,0.7272727272727273,0.7272727272727273
DeShawn Stevenson,2240.45,31,1.75,2.1785714285714284,0.9285714285714286,0.5178571428571429,0.10714285714285714,5.071428571428571
Devin Ebanks,1054.389,23,1.263157894736842,2.1578947368421053,0.5263157894736842,0.15789473684210525,0.05263157894736842,3.4210526315789473
Devin Harris,9940.0,29,3.3448275862068964,2.0,3.396551724137931,1.103448275862069,0.22413793103448276,9.948275862068966
Dion Waiters,3726.6,21,5.508196721311475,2.442622950819672,3.0,0.9672131147540983,0.26229508196721313,14.655737704918034
Dirk Nowitzki,19092.873,34,6.471698113207547,6.849056603773585,2.490566037735849,0.7169811320754716,0.6981132075471698,17.30188679245283
Dominique Jones,1276.56,24,1.3793103448275863,1.5517241379310345,2.8620689655172415,0.4827586206896552,0.06896551724137931,4.0
Donatas Motiejunas,1361.4,22,2.2045454545454546,2.1136363636363638,0.7045454545454546,0.1590909090909091,0.22727272727272727,5.681818181818182
